Company Name,Share Price,Date
EGAD,KES.11.40
KUKZ,KES.400.00
KAPC,KES.128.00
LIMT,KES.420.00
SASN,KES.21.50
WTK,KES.165.00
CGEN,KES.35.05
ABSA,KES.12.45
BKG,KES.32.00
COOP,KES.12.50
DTK,KES.50.00
EQTY,KES.45.10
HFCK,KES.3.50
IMH,KES.17.05
KCB,KES.38.50
NBK,KES.4.12
NCBA,KES.38.10
SBIC,KES.110.75
SCBK,KES.157.50
DCON,KES.0.45
EVRD,KES.0.69
XPRS,KES.4.40
HBE,KES.4.66
KQ,KES.3.83
LKL,KES.3.00
NBV,KES.3.43
NMG,KES.14.55
SMER,KES.2.45
SGL,KES.10.40
TPSE,KES.14.20
UCHM,KES.0.18
SCAN,KES.3.00
ARM,KES.5.55
BAMB,KES.28.65
CRWN,KES.35.20
CABL,KES.0.90
PORT,KES.6.70
KEGN,KES.2.89
KPLC-P4,KES.4.11
KPLC-P7,KES.6.00
KPLC,KES.1.58
TOTL,KES.22.70
UMME,KES.9.62
BRIT,KES.5.20
CIC,KES.1.96
JUB,KES.181.00
KNRE,KES.1.75
LBTY,KES.4.99
SLAM,KES.8.32
CTUM,KES.8.76
HAFR,KES.0.32
KURV,"KES.1,500.00"
OCH,KES.2.61
TCL,KES.1.19
NSE,KES.6.82
BOC,KES.70.25
BAT,KES.445.00
CARB,KES.12.10
EABL,KES.178.25
FTGH,KES.1.01
ORCH,KES.15.00
MSC,KES.0.27
UNGA,KES.27.00
SCOM,KES.24.00
FAHR,KES.6.00
GLD,"KES.2,350.00"
